pfam_id	pfam_name	binding_type	functional_category	tier	species_short	species_name	domain_of_life	taxon_id	uniprot_acc	entry_name	protein_name	gene_name	length	has_structure	pdb_count	pdb_ids
PF00152	tRNA-synt_2	RNA	translation	3	tth	Thermus thermophilus	Bacteria	274	Q5SIC2	SYDND_THET8	Aspartate--tRNA(Asp/Asn) ligase	aspS2	422	True	2	1N9W,3KFU
PF00152	tRNA-synt_2	RNA	translation	3	mja	Methanocaldococcus jannaschii DSM 2661	Archaea	243232	Q58950	SYDND_METJA	Aspartate--tRNA(Asp/Asn) ligase	aspS	438	False	0	
PF00152	tRNA-synt_2	RNA	translation	3	hvo	Haloferax volcanii	Archaea	2246	O24822	SYDND_HALVO	Aspartate--tRNA(Asp/Asn) ligase	aspS	433	False	0	
PF00152	tRNA-synt_2	RNA	translation	3	sso	Sulfolobus solfataricus P2	Archaea	273057	P95970	SYK_SACS2	Lysine--tRNA ligase	lysS	494	False	0	
PF00152	tRNA-synt_2	RNA	translation	3	sce	Saccharomyces cerevisiae S288C	Eukarya	559292	P04802	SYDC_YEAST	Aspartate--tRNA ligase, cytoplasmic	DPS1	557	True	3	1ASY,1ASZ,1EOV
PF00152	tRNA-synt_2	RNA	translation	3	hsa	Homo sapiens	Eukarya	9606	Q6PI48	SYDM_HUMAN	Aspartate--tRNA ligase, mitochondrial	DARS2	645	True	1	4AH6
PF00152	tRNA-synt_2	RNA	translation	3	ath	Arabidopsis thaliana	Eukarya	3702	Q9LJE2	SYKM_ARATH	Lysine--tRNA ligase, chloroplastic/mitochondrial	OVA5	602	False	0	
PF00347	Ribosomal_L6	RNA	translation	3	eco	Escherichia coli K-12	Bacteria	83333	P0AG55	RL6_ECOLI	Large ribosomal subunit protein uL6	rplF	177	True	508	1EG0,1ML5,2J28,2RDO,3BBX
PF00347	Ribosomal_L6	RNA	translation	3	bsu	Bacillus subtilis 168	Bacteria	224308	P46898	RL6_BACSU	Large ribosomal subunit protein uL6	rplF	179	True	30	3J3V,3J3W,3J9W,5NJT,6HA1
PF00347	Ribosomal_L6	RNA	translation	3	tth	Thermus thermophilus	Bacteria	274	P0DOY8	RL6_THET8	Large ribosomal subunit protein uL6	rplF	180	True	268	1VVJ,1VY4,1VY5,1VY6,1VY7
PF00347	Ribosomal_L6	RNA	translation	3	mja	Methanocaldococcus jannaschii DSM 2661	Archaea	243232	P54042	RL6_METJA	Large ribosomal subunit protein uL6	rpl6	182	False	0	
PF00347	Ribosomal_L6	RNA	translation	3	sso	Sulfolobus solfataricus P2	Archaea	273057	Q9UX91	RL6_SACS2	Large ribosomal subunit protein uL6	rpl6	181	False	0	
PF00347	Ribosomal_L6	RNA	translation	3	sce	Saccharomyces cerevisiae S288C	Eukarya	559292	P05738	RL9A_YEAST	Large ribosomal subunit protein uL6A	RPL9A	191	True	214	3J16,3J6X,3J6Y,3J77,3J78
PF00347	Ribosomal_L6	RNA	translation	3	hsa	Homo sapiens	Eukarya	9606	P32969	RL9_HUMAN	Large ribosomal subunit protein uL6	RPL9	192	True	132	2CQL,4UG0,4V6X,5AJ0,5LKS
PF00347	Ribosomal_L6	RNA	translation	3	ath	Arabidopsis thaliana	Eukarya	3702	O23049	RK6_ARATH	Large ribosomal subunit protein uL6c	RPL6	223	False	0	
